month,day,flow
1,1,555384.774
1,2,555384.774
1,3,555384.774
1,4,555384.774
1,5,555384.774
1,6,555384.774
1,7,555384.774
1,8,555384.774
1,9,555384.774
1,10,555384.774
1,11,555384.774
1,12,555384.774
1,13,555384.774
1,14,555384.774
1,15,555384.774
1,16,555384.774
1,17,555384.774
1,18,555384.774
1,19,555384.774
1,20,555384.774
1,21,555384.774
1,22,555384.774
1,23,555384.774
1,24,555384.774
1,25,555384.774
1,26,555384.774
1,27,555384.774
1,28,555384.774
1,29,555384.774
1,30,555384.774
1,31,555384.774
2,1,577214.246
2,2,577214.246
2,3,577214.246
2,4,577214.246
2,5,577214.246
2,6,577214.246
2,7,577214.246
2,8,577214.246
2,9,577214.246
2,10,577214.246
2,11,577214.246
2,12,577214.246
2,13,577214.246
2,14,577214.246
2,15,577214.246
2,16,577214.246
2,17,577214.246
2,18,577214.246
2,19,577214.246
2,20,577214.246
2,21,577214.246
2,22,577214.246
2,23,577214.246
2,24,577214.246
2,25,577214.246
2,26,577214.246
2,27,577214.246
2,28,577214.246
2,29,511249.655
3,1,579158.71
3,2,579158.71
3,3,579158.71
3,4,579158.71
3,5,579158.71
3,6,579158.71
3,7,579158.71
3,8,579158.71
3,9,579158.71
3,10,579158.71
3,11,579158.71
3,12,579158.71
3,13,579158.71
3,14,579158.71
3,15,579158.71
3,16,579158.71
3,17,579158.71
3,18,579158.71
3,19,579158.71
3,20,579158.71
3,21,579158.71
3,22,579158.71
3,23,579158.71
3,24,579158.71
3,25,579158.71
3,26,579158.71
3,27,579158.71
3,28,579158.71
3,29,579158.71
3,30,579158.71
3,31,579158.71
4,1,564148.8
4,2,564148.8
4,3,564148.8
4,4,564148.8
4,5,564148.8
4,6,564148.8
4,7,564148.8
4,8,564148.8
4,9,564148.8
4,10,564148.8
4,11,564148.8
4,12,564148.8
4,13,564148.8
4,14,564148.8
4,15,564148.8
4,16,564148.8
4,17,564148.8
4,18,564148.8
4,19,564148.8
4,20,564148.8
4,21,564148.8
4,22,564148.8
4,23,564148.8
4,24,564148.8
4,25,564148.8
4,26,564148.8
4,27,564148.8
4,28,564148.8
4,29,564148.8
4,30,564148.8
5,1,1339590.194
5,2,1339590.194
5,3,1339590.194
5,4,1339590.194
5,5,1339590.194
5,6,1339590.194
5,7,1339590.194
5,8,1339590.194
5,9,1339590.194
5,10,1339590.194
5,11,1339590.194
5,12,1339590.194
5,13,1339590.194
5,14,1339590.194
5,15,1339590.194
5,16,1339590.194
5,17,1339590.194
5,18,1339590.194
5,19,1339590.194
5,20,1339590.194
5,21,1339590.194
5,22,1339590.194
5,23,1339590.194
5,24,1339590.194
5,25,1339590.194
5,26,1339590.194
5,27,1339590.194
5,28,1339590.194
5,29,1339590.194
5,30,1339590.194
5,31,1339590.194
6,1,851644.8
6,2,851644.8
6,3,851644.8
6,4,851644.8
6,5,851644.8
6,6,851644.8
6,7,851644.8
6,8,851644.8
6,9,851644.8
6,10,851644.8
6,11,851644.8
6,12,851644.8
6,13,851644.8
6,14,851644.8
6,15,851644.8
6,16,851644.8
6,17,851644.8
6,18,851644.8
6,19,851644.8
6,20,851644.8
6,21,851644.8
6,22,851644.8
6,23,851644.8
6,24,851644.8
6,25,851644.8
6,26,851644.8
6,27,851644.8
6,28,851644.8
6,29,851644.8
6,30,851644.8
7,1,1660333.042
7,2,1660333.042
7,3,1660333.042
7,4,1660333.042
7,5,1660333.042
7,6,1660333.042
7,7,1660333.042
7,8,1660333.042
7,9,1660333.042
7,10,1660333.042
7,11,1660333.042
7,12,1660333.042
7,13,1660333.042
7,14,1660333.042
7,15,1660333.042
7,16,1660333.042
7,17,1660333.042
7,18,1660333.042
7,19,1660333.042
7,20,1660333.042
7,21,1660333.042
7,22,1660333.042
7,23,1660333.042
7,24,1660333.042
7,25,1660333.042
7,26,1660333.042
7,27,1660333.042
7,28,1660333.042
7,29,1660333.042
7,30,1660333.042
7,31,1660333.042
8,1,3287729.032
8,2,3287729.032
8,3,3287729.032
8,4,3287729.032
8,5,3287729.032
8,6,3287729.032
8,7,3287729.032
8,8,3287729.032
8,9,3287729.032
8,10,3287729.032
8,11,3287729.032
8,12,3287729.032
8,13,3287729.032
8,14,3287729.032
8,15,3287729.032
8,16,3287729.032
8,17,3287729.032
8,18,3287729.032
8,19,3287729.032
8,20,3287729.032
8,21,3287729.032
8,22,3287729.032
8,23,3287729.032
8,24,3287729.032
8,25,3287729.032
8,26,3287729.032
8,27,3287729.032
8,28,3287729.032
8,29,3287729.032
8,30,3287729.032
8,31,3287729.032
9,1,10223870.4
9,2,10223870.4
9,3,10223870.4
9,4,10223870.4
9,5,10223870.4
9,6,10223870.4
9,7,10223870.4
9,8,10223870.4
9,9,10223870.4
9,10,10223870.4
9,11,10223870.4
9,12,10223870.4
9,13,10223870.4
9,14,10223870.4
9,15,10223870.4
9,16,10223870.4
9,17,10223870.4
9,18,10223870.4
9,19,10223870.4
9,20,10223870.4
9,21,10223870.4
9,22,10223870.4
9,23,10223870.4
9,24,10223870.4
9,25,10223870.4
9,26,10223870.4
9,27,10223870.4
9,28,10223870.4
9,29,10223870.4
9,30,10223870.4
10,1,10934687.524
10,2,10934687.524
10,3,10934687.524
10,4,10934687.524
10,5,10934687.524
10,6,10934687.524
10,7,10934687.524
10,8,10934687.524
10,9,10934687.524
10,10,10934687.524
10,11,10934687.524
10,12,10934687.524
10,13,10934687.524
10,14,10934687.524
10,15,10934687.524
10,16,10934687.524
10,17,10934687.524
10,18,10934687.524
10,19,10934687.524
10,20,10934687.524
10,21,10934687.524
10,22,10934687.524
10,23,10934687.524
10,24,10934687.524
10,25,10934687.524
10,26,10934687.524
10,27,10934687.524
10,28,10934687.524
10,29,10934687.524
10,30,10934687.524
10,31,10934687.524
11,1,3312673.477
11,2,3312673.477
11,3,3312673.477
11,4,3312673.477
11,5,3312673.477
11,6,3312673.477
11,7,3312673.477
11,8,3312673.477
11,9,3312673.477
11,10,3312673.477
11,11,3312673.477
11,12,3312673.477
11,13,3312673.477
11,14,3312673.477
11,15,3312673.477
11,16,3312673.477
11,17,3312673.477
11,18,3312673.477
11,19,3312673.477
11,20,3312673.477
11,21,3312673.477
11,22,3312673.477
11,23,3312673.477
11,24,3312673.477
11,25,3312673.477
11,26,3312673.477
11,27,3312673.477
11,28,3312673.477
11,29,3312673.477
11,30,3312673.477
12,1,837829.161
12,2,837829.161
12,3,837829.161
12,4,837829.161
12,5,837829.161
12,6,837829.161
12,7,837829.161
12,8,837829.161
12,9,837829.161
12,10,837829.161
12,11,837829.161
12,12,837829.161
12,13,837829.161
12,14,837829.161
12,15,837829.161
12,16,837829.161
12,17,837829.161
12,18,837829.161
12,19,837829.161
12,20,837829.161
12,21,837829.161
12,22,837829.161
12,23,837829.161
12,24,837829.161
12,25,837829.161
12,26,837829.161
12,27,837829.161
12,28,837829.161
12,29,837829.161
12,30,837829.161
12,31,837829.161
